field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps,variant
{'dispatch': True},519.5368649438024,2,chained,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.6523449830711,2,chained,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1602.1627750014886,2,chained,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,128,low_stage_0
{'dispatch': True},1506.552916020155,2,chained,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1472.7820489788428,2,chained,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.387236032635,2,chained,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,16,low_stage_1
{'dispatch': True},1505.9684019070119,2,chained,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1472.0945310546085,2,chained,"{""city"": ""Berlin"", ""date"": ""2026-05-09"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1601.7267300048843,2,chained,"{""airport"": ""BER"", ""date"": ""2026-05-09"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for Berlin on 2026-05-09.,8,3,1,128,low_stage_2
{'dispatch': True},525.1135879661888,2,chained,"{""dispatch"": ""BER-20260509-S2""}",True,1,Create a standard travel dispatch for Berlin on 2026-05-09.,8,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1472.3157089902088,0,chained,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.400373969227,0,chained,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,128,all_high
{'dispatch': False},1506.0034280177206,0,chained,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",493.7090299790725,0,chained,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",574.3195679970086,0,chained,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,16,all_low
{'dispatch': False},520.8602239144966,0,chained,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",493.52381099015474,0,chained,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1603.1550880288705,0,chained,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,128,low_stage_0
{'dispatch': False},1508.9681680547073,0,chained,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1473.2441819505766,0,chained,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",575.5323990015313,0,chained,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,16,low_stage_1
{'dispatch': False},1506.3619749853387,0,chained,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1473.6897229449823,0,chained,"{""city"": ""Dubai"", ""date"": ""2027-10-16"", ""priority"": ""urgent""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1602.7095270110294,0,chained,"{""airport"": ""DXB"", ""date"": ""2027-10-16"", ""sla"": ""S1""}",True,3,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,3,1,128,low_stage_2
{'dispatch': False},522.1149539574981,0,chained,"{""dispatch"": ""DXB-271016-S1""}",False,0,Set up urgent routing for the Dubai visit dated 2027-10-16.,9,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1474.6339669218287,1,chained,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.7342150444165,1,chained,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,128,all_high
{'dispatch': True},1505.827676039189,1,chained,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.12892609648407,1,chained,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.8628159742802,1,chained,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,16,all_low
{'dispatch': True},520.4254529671744,1,chained,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.0986290089786,1,chained,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1601.2539969524369,1,chained,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,128,low_stage_0
{'dispatch': True},1505.904461024329,1,chained,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1471.445003990084,1,chained,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",575.4297149833292,1,chained,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,16,low_stage_1
{'dispatch': True},1506.6401299554855,1,chained,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1471.3345359778032,1,chained,"{""city"": ""Boston"", ""date"": ""2026-03-23"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1601.6385939437896,1,chained,"{""airport"": ""BOS"", ""date"": ""2026-03-23"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,3,1,128,low_stage_2
{'dispatch': True},520.5819979310036,1,chained,"{""dispatch"": ""BOS-20260323-S1""}",True,1,Prepare the 2026-03-23 Boston itinerary with urgent handling.,10,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1471.3420799234882,2,chained,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1602.0903780590743,2,chained,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,128,all_high
{'dispatch': True},1506.720272009261,2,chained,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.9697240004316,2,chained,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.5533999977633,2,chained,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,16,all_low
{'dispatch': True},520.1306059025228,2,chained,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.72970005404204,2,chained,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1602.9659409541637,2,chained,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,128,low_stage_0
{'dispatch': True},1506.3103280263022,2,chained,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1472.1872960217297,2,chained,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.6171700302511,2,chained,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,16,low_stage_1
{'dispatch': True},1506.229956052266,2,chained,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1472.464379039593,2,chained,"{""city"": ""Toronto"", ""date"": ""2027-08-06"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1601.4282770920545,2,chained,"{""airport"": ""YYZ"", ""date"": ""2027-08-06"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Toronto for 2027-08-06.,11,3,1,128,low_stage_2
{'dispatch': True},520.7784090889618,2,chained,"{""dispatch"": ""YYZ-20270806-S2""}",True,1,Open a standard trip ticket to Toronto for 2027-08-06.,11,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1471.7773309675977,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.3941820710897,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,128,all_high
{'dispatch': True},1507.5514919590205,0,chained,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",493.29475802369416,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.5781280091032,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,16,all_low
{'dispatch': True},520.6309000495821,0,chained,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.57194192614406,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1602.627541986294,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,128,low_stage_0
{'dispatch': True},1506.1684499960393,0,chained,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1473.754066042602,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.4025049498305,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,16,low_stage_1
{'dispatch': True},1506.6927099833265,0,chained,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1476.8577079521492,0,chained,"{""city"": ""Seoul"", ""date"": ""2026-01-13"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1601.099835941568,0,chained,"{""airport"": ""ICN"", ""date"": ""2026-01-13"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-13.,12,3,1,128,low_stage_2
{'dispatch': True},521.2708289036527,0,chained,"{""dispatch"": ""ICN-20260113-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-13.,12,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1472.1949000377208,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1602.1059469785541,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,128,all_high
{'dispatch': True},1506.820532027632,1,chained,"{""dispatch"": ""NRT-20270620-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",493.5974999098107,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.6628079321235,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,16,all_low
{'dispatch': False},524.8799959663302,1,chained,"{""dispatch"": ""NRT-270620-S2""}",False,0,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",493.74020902905613,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1602.0271379966289,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,128,low_stage_0
{'dispatch': True},1506.1627990799025,1,chained,"{""dispatch"": ""NRT-20270620-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1473.8400579662994,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",575.804452993907,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,16,low_stage_1
{'dispatch': True},1508.330633980222,1,chained,"{""dispatch"": ""NRT-20270620-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1472.755559021607,1,chained,"{""city"": ""Tokyo"", ""date"": ""2027-06-20"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1602.3781310068443,1,chained,"{""airport"": ""NRT"", ""date"": ""2027-06-20"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,3,1,128,low_stage_2
{'dispatch': False},522.1272769849747,1,chained,"{""dispatch"": ""NRT-270620-S2""}",False,0,Set up standard routing for the Tokyo visit dated 2027-06-20.,13,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1470.0286280130967,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1600.9285129839554,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,128,all_high
{'dispatch': True},1505.7419840013608,2,chained,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.42544604931027,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.7859299406409,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,16,all_low
{'dispatch': True},520.3622829867527,2,chained,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",491.9511399930343,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1600.9062310913578,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,128,low_stage_0
{'dispatch': True},1506.3241639873013,2,chained,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1471.7864790000021,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.5208790758625,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,16,low_stage_1
{'dispatch': True},1510.0275890436023,2,chained,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1470.996417105198,2,chained,"{""city"": ""Paris"", ""date"": ""2026-11-03"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1601.3133389642462,2,chained,"{""airport"": ""CDG"", ""date"": ""2026-11-03"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,3,1,128,low_stage_2
{'dispatch': True},521.9187730690464,2,chained,"{""dispatch"": ""CDG-20261103-S2""}",True,1,Prepare the 2026-11-03 Paris itinerary with standard handling.,14,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1471.2230439763516,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.1409150669351,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,128,all_high
{'dispatch': True},1506.797467940487,0,chained,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",496.70801497995853,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.2894819229841,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,16,all_low
{'dispatch': True},519.8714459547773,0,chained,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.3236530739814,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1601.0424779960886,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,128,low_stage_0
{'dispatch': True},1506.5995040349662,0,chained,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1472.198627074249,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.8622230021283,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,16,low_stage_1
{'dispatch': True},1505.6363249896094,0,chained,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,128,low_stage_1
"{'city': True, 'date': True, 'priority': True}",1471.5450130170211,0,chained,"{""city"": ""Austin"", ""date"": ""2027-04-10"", ""priority"": ""standard""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,0,128,low_stage_2
"{'airport': True, 'sla': True, 'date': True}",1600.472812075168,0,chained,"{""airport"": ""AUS"", ""date"": ""2027-04-10"", ""sla"": ""S2""}",True,3,Open a standard trip ticket to Austin for 2027-04-10.,15,3,1,128,low_stage_2
{'dispatch': True},522.0397419761866,0,chained,"{""dispatch"": ""AUS-20270410-S2""}",True,1,Open a standard trip ticket to Austin for 2027-04-10.,15,1,2,16,low_stage_2
"{'city': True, 'date': True, 'priority': True}",1470.9629539866,1,chained,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,128,all_high
"{'airport': True, 'sla': True, 'date': True}",1601.0423579718918,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,128,all_high
{'dispatch': True},1505.7240599999204,1,chained,"{""dispatch"": ""LHR-20260917-S2""}",True,1,Create a standard travel dispatch for London on 2026-09-17.,16,1,2,128,all_high
"{'city': True, 'date': True, 'priority': True}",492.6536768907681,1,chained,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,16,all_low
"{'airport': True, 'sla': True, 'date': True}",573.9546290133148,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,16,all_low
{'dispatch': True},520.081143011339,1,chained,"{""dispatch"": ""LHR-20260917-S2""}",True,1,Create a standard travel dispatch for London on 2026-09-17.,16,1,2,16,all_low
"{'city': True, 'date': True, 'priority': True}",492.0836800010875,1,chained,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,16,low_stage_0
"{'airport': True, 'sla': True, 'date': True}",1601.5623999992386,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,128,low_stage_0
{'dispatch': True},1505.8212940348312,1,chained,"{""dispatch"": ""LHR-20260917-S2""}",True,1,Create a standard travel dispatch for London on 2026-09-17.,16,1,2,128,low_stage_0
"{'city': True, 'date': True, 'priority': True}",1471.5732659678906,1,chained,"{""city"": ""London"", ""date"": ""2026-09-17"", ""priority"": ""standard""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,0,128,low_stage_1
"{'airport': True, 'sla': True, 'date': True}",574.8033419949934,1,chained,"{""airport"": ""LHR"", ""date"": ""2026-09-17"", ""sla"": ""S2""}",True,3,Create a standard travel dispatch for London on 2026-09-17.,16,3,1,16,low_stage_1
