field_correct,generation_ms,hard_stage,mode,observed,ready,ready_count,request,request_index,required_count,stage_index,steps
{'dispatch': False},521.0428789723665,0,isolated,"{""dispatch"": ""DXB-271004-S3""}",False,0,Set up economy routing for the Dubai visit dated 2027-10-04.,21,1,2,16
"{'city': True, 'date': True, 'priority': True}",1469.8158270912245,1,isolated,"{""city"": ""Boston"", ""date"": ""2026-03-11"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.12662095669657,1,isolated,"{""city"": ""Boston"", ""date"": ""2026-03-11"", ""priority"": ""urgent""}",True,3,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.5229169968516,1,isolated,"{""airport"": ""BOS"", ""date"": ""2026-03-11"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.0633230200037,1,isolated,"{""airport"": ""BOS"", ""date"": ""2026-03-11"", ""sla"": ""S1""}",True,3,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,3,1,16
{'dispatch': True},1505.6034730514511,1,isolated,"{""dispatch"": ""BOS-20260311-S1""}",True,1,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,1,2,128
{'dispatch': True},521.4662590296939,1,isolated,"{""dispatch"": ""BOS-20260311-S1""}",True,1,Prepare the 2026-03-11 Boston itinerary with urgent handling.,22,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.7255550893024,2,isolated,"{""city"": ""Toronto"", ""date"": ""2027-08-18"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Toronto for 2027-08-18.,23,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.0744619341567,2,isolated,"{""city"": ""Toronto"", ""date"": ""2027-08-18"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Toronto for 2027-08-18.,23,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1599.942349945195,2,isolated,"{""airport"": ""YYZ"", ""date"": ""2027-08-18"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Toronto for 2027-08-18.,23,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.2877069171518,2,isolated,"{""airport"": ""YYZ"", ""date"": ""2027-08-18"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Toronto for 2027-08-18.,23,3,1,16
{'dispatch': True},1506.350914016366,2,isolated,"{""dispatch"": ""YYZ-20270818-S3""}",True,1,Open a economy trip ticket to Toronto for 2027-08-18.,23,1,2,128
{'dispatch': True},521.0068409796804,2,isolated,"{""dispatch"": ""YYZ-20270818-S3""}",True,1,Open a economy trip ticket to Toronto for 2027-08-18.,23,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.3568469742313,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,24,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.52628698013723,0,isolated,"{""city"": ""Seoul"", ""date"": ""2026-01-01"", ""priority"": ""economy""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,24,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.2333200303838,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,24,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.5424379603937,0,isolated,"{""airport"": ""ICN"", ""date"": ""2026-01-01"", ""sla"": ""S3""}",True,3,Create a economy travel dispatch for Seoul on 2026-01-01.,24,3,1,16
{'dispatch': True},1505.720895016566,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,24,1,2,128
{'dispatch': True},521.5570000000298,0,isolated,"{""dispatch"": ""ICN-20260101-S3""}",True,1,Create a economy travel dispatch for Seoul on 2026-01-01.,24,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.6967090498656,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.44098404981196,1,isolated,"{""city"": ""Tokyo"", ""date"": ""2027-06-08"", ""priority"": ""standard""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.869549951516,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.2920439699665,1,isolated,"{""airport"": ""NRT"", ""date"": ""2027-06-08"", ""sla"": ""S2""}",True,3,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,3,1,16
{'dispatch': True},1510.3222660254687,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,1,2,128
{'dispatch': True},520.8454659441486,1,isolated,"{""dispatch"": ""NRT-20270608-S2""}",True,1,Set up standard routing for the Tokyo visit dated 2027-06-08.,25,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.2805350534618,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.309556924738,2,isolated,"{""city"": ""Paris"", ""date"": ""2026-11-15"", ""priority"": ""standard""}",True,3,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1601.3316350290552,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.5586290033534,2,isolated,"{""airport"": ""CDG"", ""date"": ""2026-11-15"", ""sla"": ""S2""}",True,3,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,3,1,16
{'dispatch': False},1506.3626170158386,2,isolated,"{""dispatch"": ""CDG-261115-S2""}",False,0,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,1,2,128
{'dispatch': False},521.0898370714858,2,isolated,"{""dispatch"": ""CDG-261115-S2""}",False,0,Prepare the 2026-11-15 Paris itinerary with standard handling.,26,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.6903980113566,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,27,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.6110570086166,0,isolated,"{""city"": ""Austin"", ""date"": ""2027-04-22"", ""priority"": ""economy""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,27,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.5985599476844,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,27,3,1,128
"{'airport': True, 'sla': True, 'date': True}",576.5471459599212,0,isolated,"{""airport"": ""AUS"", ""date"": ""2027-04-22"", ""sla"": ""S3""}",True,3,Open a economy trip ticket to Austin for 2027-04-22.,27,3,1,16
{'dispatch': True},1505.8164850343019,0,isolated,"{""dispatch"": ""AUS-20270422-S3""}",True,1,Open a economy trip ticket to Austin for 2027-04-22.,27,1,2,128
{'dispatch': False},521.9499419908971,0,isolated,"{""dispatch"": ""AUS-270422-S3""}",False,0,Open a economy trip ticket to Austin for 2027-04-22.,27,1,2,16
"{'city': True, 'date': True, 'priority': True}",1470.5206080107018,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""urgent""}",True,3,Create a urgent travel dispatch for London on 2026-09-05.,28,3,0,128
"{'city': True, 'date': True, 'priority': True}",492.7738041151315,1,isolated,"{""city"": ""London"", ""date"": ""2026-09-05"", ""priority"": ""urgent""}",True,3,Create a urgent travel dispatch for London on 2026-09-05.,28,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1600.8366299793124,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S1""}",True,3,Create a urgent travel dispatch for London on 2026-09-05.,28,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.5290220258757,1,isolated,"{""airport"": ""LHR"", ""date"": ""2026-09-05"", ""sla"": ""S1""}",True,3,Create a urgent travel dispatch for London on 2026-09-05.,28,3,1,16
{'dispatch': True},1505.6984620168805,1,isolated,"{""dispatch"": ""LHR-20260905-S1""}",True,1,Create a urgent travel dispatch for London on 2026-09-05.,28,1,2,128
{'dispatch': True},521.1301340023056,1,isolated,"{""dispatch"": ""LHR-20260905-S1""}",True,1,Create a urgent travel dispatch for London on 2026-09-05.,28,1,2,16
"{'city': True, 'date': True, 'priority': True}",1471.7609219951555,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""standard""}",True,3,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,3,0,128
"{'city': True, 'date': True, 'priority': True}",493.2797390501946,2,isolated,"{""city"": ""Amsterdam"", ""date"": ""2027-02-12"", ""priority"": ""standard""}",True,3,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,3,0,16
"{'airport': True, 'sla': True, 'date': True}",1603.6677280208096,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S2""}",True,3,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,3,1,128
"{'airport': True, 'sla': True, 'date': True}",575.437588035129,2,isolated,"{""airport"": ""AMS"", ""date"": ""2027-02-12"", ""sla"": ""S2""}",True,3,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,3,1,16
{'dispatch': True},1505.7229859521613,2,isolated,"{""dispatch"": ""AMS-20270212-S2""}",True,1,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,1,2,128
{'dispatch': True},520.8334689959884,2,isolated,"{""dispatch"": ""AMS-20270212-S2""}",True,1,Set up standard routing for the Amsterdam visit dated 2027-02-12.,29,1,2,16
